blueKills,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueTotalGold,blueKills_set,blueTotalGold_min/kills
3,233,52,15314,,
10,192,45,17690,,
10,216,73,20183,,
9,225,56,18408,,
6,159,48,15595,,
8,209,36,17119,,
9,214,47,17658,,
14,218,56,19600,,
7,190,40,16336,,
7,226,49,16860,,
3,201,46,14501,,
7,226,52,17148,,
10,223,61,18559,,
3,215,48,16250,,
4,224,56,15791,,
5,222,40,15634,,
3,215,48,15148,,
10,206,56,17893,,
7,202,42,16200,,
2,224,0,13371,,
6,205,53,15903,,
5,202,39,15719,,
2,185,40,13267,,
4,253,64,16305,,
8,258,49,18269,,
4,216,49,14956,,
3,229,45,16180,,
8,200,44,16808,,
10,231,44,17971,,
6,236,56,16998,,
5,167,54,15015,,
4,209,45,14881,,
4,241,52,15730,,
16,203,37,19098,,
5,235,60,16169,,
9,197,49,16954,,
5,203,54,15984,,
8,261,48,18078,,
9,206,36,16329,,
9,224,40,17193,,
11,201,51,18401,,
2,227,60,14704,,
5,254,48,16367,,
0,195,44,12905,,
3,197,48,13967,,
8,199,48,16511,,
8,232,35,17496,,
7,255,52,17743,,
8,202,56,16888,,
2,208,52,13742,,
9,187,58,17793,,
5,221,48,16178,,
8,217,60,17706,,
6,199,52,16149,,
3,183,53,14760,,
3,220,55,15820,,
5,183,59,15173,,
4,215,36,14769,,
4,178,48,14353,,
8,216,34,16763,,
5,250,64,16747,,
8,217,46,17044,,
6,190,48,15532,,
7,222,63,17347,,
9,228,44,18758,,
13,220,68,20711,,
8,205,46,16539,,
11,206,55,19096,,
11,199,48,17938,,
8,180,63,17072,,
12,216,52,19640,,
7,214,65,16891,,
9,234,58,17485,,
7,225,68,16696,,
8,231,44,17499,,
10,245,41,18288,,
5,170,56,15684,,
1,229,59,14737,,
11,223,52,18715,,
7,225,61,18551,,
12,220,40,19351,,
8,175,56,17318,,
10,205,63,18969,,
8,203,52,17113,,
8,207,30,17201,,
8,217,43,16749,,
4,222,60,16523,,
11,221,37,18285,,
10,214,51,17346,,
7,238,45,17443,,
7,211,54,16526,,
7,188,44,17363,,
10,252,47,18779,,
13,199,42,20317,,
2,269,56,15649,,
5,217,51,16256,,
5,247,49,16688,,
10,210,43,17724,,
3,176,56,15320,,
6,203,52,15900,,
12,193,50,18377,,
4,210,51,15785,,
10,205,39,17625,,
15,213,40,19931,,
14,213,46,19331,,
6,201,64,17048,,
9,207,45,17910,,
7,221,50,16614,,
5,229,47,15943,,
4,207,56,14924,,
5,198,46,15069,,
8,196,34,16366,,
2,194,41,14158,,
2,207,65,14291,,
5,202,28,15078,,
9,195,44,17234,,
9,220,54,17826,,
10,199,50,18445,,
6,205,49,15814,,
8,202,28,16735,,
8,172,28,15818,,
6,232,59,16999,,
5,227,47,15867,,
11,221,46,18042,,
8,228,76,18293,,
5,239,38,15895,,
1,251,44,14305,,
8,232,67,18186,,
6,222,47,16295,,
17,226,38,20151,,
3,219,38,14735,,
1,179,36,12798,,
4,234,54,16452,,
6,215,51,16120,,
9,226,44,18287,,
4,241,48,15902,,
8,218,41,16982,,
7,236,48,17064,,
5,208,45,15424,,
9,210,56,18369,,
7,236,64,17568,,
9,229,36,18090,,
4,207,54,15786,,
4,252,64,16596,,
8,154,53,16093,,
7,237,66,18858,,
5,206,57,15288,,
7,227,52,16346,,
1,201,51,13447,,
8,206,40,16453,,
12,213,39,18669,,
5,209,60,16192,,
2,183,59,13701,,
6,242,44,16762,,
8,235,48,16795,,
4,164,58,14464,,
5,233,64,16925,,
3,211,51,14302,,
2,233,50,14786,,
3,214,54,15134,,
8,228,46,18954,,
6,220,51,16043,,
5,196,43,15195,,
9,218,40,17205,,
5,219,60,16022,,
6,201,49,15615,,
2,202,64,14433,,
13,220,36,19807,,
4,236,58,15704,,
4,221,50,17073,,
9,203,70,18584,,
7,216,30,16187,,
9,166,48,16749,,
6,214,68,16490,,
6,236,59,16697,,
10,196,64,17973,,
5,234,47,16029,,
4,231,64,15752,,
5,234,44,15930,,
6,190,36,15241,,
8,201,48,17127,,
1,188,53,13519,,
11,243,40,18748,,
4,227,55,16055,,
7,202,55,16496,,
6,222,60,17217,,
4,237,47,15482,,
3,200,63,14486,,
6,198,30,15809,,
11,229,41,19556,,
9,188,58,17003,,
5,220,59,16451,,
6,238,76,17837,,
11,195,54,18056,,
8,189,41,16249,,
7,212,45,16946,,
4,243,55,15707,,
7,193,52,16443,,
8,215,64,17823,,
2,236,57,16241,,
7,209,52,16464,,
6,233,47,16924,,
10,217,46,17251,,
6,212,62,16917,,
7,239,64,19453,,
5,207,79,16891,,
7,218,68,17107,,
4,236,53,15444,,
9,226,59,18283,,
4,246,52,16267,,
6,233,65,17247,,
11,226,48,18640,,
9,221,49,17086,,
6,205,52,16505,,
12,172,32,17961,,
14,204,49,19418,,
4,214,58,15846,,
6,221,43,16937,,
1,220,37,14064,,
1,246,51,15094,,
5,193,54,15633,,
6,245,52,16868,,
10,240,63,19289,,
3,194,66,15138,,
1,210,83,14942,,
6,191,40,15703,,
5,217,47,15427,,
6,238,37,16620,,
6,209,44,15926,,
9,210,38,16852,,
6,219,64,16936,,
10,212,37,17917,,
7,241,48,17558,,
3,205,51,15149,,
5,215,52,16112,,
7,207,52,15885,,
4,224,61,17104,,
10,173,40,17535,,
8,205,59,17321,,
6,204,71,16317,,
4,234,66,15649,,
9,220,41,17592,,
2,230,65,15420,,
3,226,40,15929,,
4,178,48,15046,,
6,243,64,16737,,
6,204,49,15756,,
3,238,51,15442,,
9,166,36,16649,,
6,202,54,16171,,
9,210,41,17190,,
7,227,48,17222,,
6,199,52,15704,,
9,162,31,16331,,
10,183,51,19186,,
7,228,47,17546,,
4,219,38,15198,,
8,165,39,17909,,
4,208,48,15046,,
6,238,54,16740,,
13,258,56,20295,,
4,217,48,15921,,
10,192,45,17145,,
5,205,43,15936,,
7,226,47,16649,,
10,203,36,17618,,
6,195,45,15871,,
8,206,32,17676,,
7,248,55,17423,,
1,210,52,13410,,
7,219,44,16992,,
8,231,56,18678,,
5,222,66,16220,,
5,169,56,14930,,
7,201,51,16304,,
7,230,52,17075,,
5,225,47,15499,,
6,218,55,16972,,
6,189,28,15256,,
6,197,52,16568,,
7,224,56,17326,,
6,226,51,16619,,
4,261,36,16295,,
7,186,52,15680,,
7,191,36,16432,,
10,219,53,19197,,
10,221,51,18468,,
9,229,35,18280,,
5,193,48,16103,,
6,221,65,16832,,
3,232,40,15028,,
9,194,54,17076,,
7,210,35,16745,,
4,222,42,15658,,
6,167,72,15760,,
2,210,57,14624,,
2,245,48,15568,,
6,231,49,16331,,
7,240,60,17204,,
3,195,36,14910,,
12,192,60,19141,,
2,194,64,14208,,
9,234,44,17951,,
7,197,62,16142,,
4,237,65,16333,,
8,222,63,17526,,
7,221,76,17381,,
5,230,56,17854,,
6,206,59,15698,,
6,195,49,16039,,
3,206,52,14506,,
6,226,51,16830,,
2,245,52,14909,,
0,201,32,12939,,
8,216,64,16678,,
5,210,56,15322,,
5,210,64,16562,,
6,214,56,16353,,
7,207,55,16998,,
5,188,35,15051,,
3,208,46,14986,,
7,214,40,17003,,
4,226,43,15380,,
9,216,76,18599,,
6,192,46,15936,,
3,224,52,15265,,
10,219,50,18177,,
7,220,39,16605,,
4,203,40,14742,,
3,194,60,14440,,
2,187,4,12798,,
5,201,63,15698,,
7,216,48,17324,,
2,233,47,14613,,
4,196,44,14705,,
8,247,47,17536,,
5,213,55,15226,,
6,197,41,16051,,
3,236,47,15158,,
8,193,44,16934,,
4,198,52,15228,,
10,205,56,17710,,
2,228,49,14971,,
10,205,50,17835,,
7,234,64,17071,,
6,208,50,16245,,
6,235,42,16835,,
6,226,67,17088,,
5,223,56,16383,,
4,220,58,16577,,
12,221,44,19607,,
8,149,47,15775,,
4,185,45,14998,,
8,207,48,16906,,
9,209,49,18743,,
8,198,40,16634,,
3,177,35,13636,,
3,167,50,13744,,
4,230,46,15823,,
7,219,47,16356,,
11,195,55,19801,,
11,202,39,18200,,
4,230,40,15335,,
6,238,52,16792,,
12,232,44,20086,,
1,232,45,13858,,
5,222,53,16190,,
7,202,42,16112,,
9,198,40,17298,,
2,240,38,14593,,
10,201,54,17723,,
8,204,45,16565,,
4,254,62,16301,,
6,238,59,16698,,
1,235,60,14878,,
5,255,66,16494,,
5,206,60,15463,,
6,161,40,15435,,
5,215,67,16165,,
6,233,50,16640,,
6,212,53,16422,,
8,256,33,17863,,
8,226,45,16970,,
4,191,51,14866,,
9,229,48,17761,,
7,233,48,16650,,
8,264,53,18607,,
8,209,48,16237,,
2,220,40,14273,,
6,232,39,15906,,
4,264,53,16083,,
2,204,77,15034,,
5,257,52,16660,,
5,155,56,13945,,
3,207,53,14991,,
3,261,60,16653,,
7,209,64,17557,,
4,196,41,14439,,
12,227,40,18567,,
9,229,44,17079,,
6,276,70,21051,,
8,213,4,15229,,
5,214,55,16490,,
8,200,47,17047,,
4,187,51,14844,,
8,206,37,16382,,
7,231,49,18113,,
1,194,51,13933,,
8,214,36,16352,,
2,239,64,15098,,
5,244,50,16384,,
7,198,56,17132,,
5,249,60,16116,,
7,230,49,17201,,
3,228,49,15224,,
6,203,44,15334,,
12,272,59,21016,,
7,186,47,15812,,
5,194,44,15447,,
5,209,56,15812,,
1,214,45,14301,,
2,204,51,14749,,
7,254,64,17605,,
5,207,53,15535,,
11,230,62,18761,,
8,216,44,16855,,
18,224,59,21352,,
5,221,54,15990,,
5,184,47,15015,,
5,223,24,15432,,
4,236,51,15404,,
5,233,52,16224,,
10,177,57,17437,,
6,236,72,17783,,
8,227,41,17618,,
9,254,54,18984,,
11,205,40,18104,,
5,251,68,17250,,
5,243,56,16222,,
3,238,47,15179,,
3,197,20,13896,,
8,218,40,17911,,
11,217,39,18582,,
13,207,30,19099,,
6,187,48,15879,,
9,239,32,17354,,
6,186,40,16760,,
7,209,53,16839,,
6,225,43,16186,,
9,198,55,16915,,
9,207,30,17951,,
8,224,43,17722,,
9,249,56,18381,,
5,219,46,16084,,
2,239,60,15054,,
12,194,42,17838,,
8,239,48,17415,,
3,234,44,15025,,
4,206,48,15362,,
4,230,52,15038,,
8,218,50,17726,,
3,232,58,15685,,
6,221,68,17530,,
6,205,59,16260,,
5,183,60,15668,,
7,209,43,16511,,
8,200,44,16965,,
11,201,47,18212,,
4,207,55,15042,,
4,235,38,15661,,
10,218,50,17986,,
0,218,60,13776,,
7,186,24,15330,,
4,197,52,14727,,
7,229,60,17651,,
5,184,47,15496,,
9,242,45,18395,,
7,220,27,16866,,
7,211,39,16449,,
5,218,58,16142,,
4,205,52,15099,,
9,207,69,18044,,
5,251,40,16248,,
5,205,44,15182,,
6,195,44,15651,,
5,211,64,15917,,
2,193,57,13889,,
7,241,44,16858,,
9,204,38,18119,,
8,207,46,17352,,
11,219,35,17924,,
3,226,37,14490,,
6,189,60,16172,,
1,239,48,14555,,
6,197,51,15355,,
4,175,45,14395,,
6,225,48,16630,,
8,225,60,16984,,
7,205,30,16675,,
7,207,43,16258,,
3,212,60,15571,,
12,228,68,19740,,
1,208,43,13749,,
4,271,52,16231,,
6,188,45,15736,,
6,222,69,17099,,
8,236,41,17620,,
5,231,48,16250,,
8,207,54,17136,,
13,234,54,22228,,
9,218,68,18847,,
2,130,42,13462,,
7,239,28,16364,,
6,233,36,17279,,
1,225,56,14654,,
6,187,47,15211,,
5,223,60,17076,,
1,214,63,14536,,
7,198,59,17308,,
4,205,45,16203,,
6,235,36,16130,,
2,223,46,15739,,
9,228,43,17498,,
6,165,63,14947,,
3,217,48,14893,,
11,192,54,18817,,
9,197,64,17704,,
1,241,52,15717,,
10,212,40,17252,,
3,185,50,14794,,
3,217,39,14751,,
2,246,71,15430,,
1,222,56,14266,,
6,204,36,16168,,
6,224,52,17303,,
6,204,48,16111,,
8,199,53,18029,,
7,222,49,16695,,
8,228,48,17755,,
8,214,40,17388,,
6,260,51,16874,,
3,239,42,15591,,
8,237,43,17562,,
12,229,38,19628,,
5,202,41,15871,,
9,222,45,17792,,
7,193,44,16168,,
4,217,55,15786,,
8,235,60,17889,,
2,181,48,13612,,
5,204,52,16218,,
8,252,76,18188,,
5,219,44,15786,,
1,235,50,14419,,
7,194,46,16575,,
5,203,45,15068,,
10,253,43,19225,,
10,218,47,18688,,
10,236,44,18650,,
3,234,54,15207,,
11,204,44,17522,,
12,193,40,18131,,
10,209,50,18209,,
5,230,55,16162,,
7,229,55,16805,,
3,220,64,15742,,
11,207,57,18649,,
4,202,51,16643,,
5,238,60,16500,,
7,221,51,16972,,
3,215,48,14496,,
7,241,62,16790,,
3,240,74,15704,,
7,259,52,18285,,
3,173,39,14414,,
3,269,64,16981,,
10,240,58,18516,,
3,241,72,15594,,
8,214,46,17259,,
10,208,48,17741,,
8,226,76,17867,,
15,208,27,21462,,
4,221,54,15548,,
8,229,46,17405,,
9,204,52,17112,,
8,239,33,17917,,
5,169,49,15465,,
5,240,46,16020,,
8,230,41,16708,,
3,206,38,14384,,
11,225,46,18420,,
3,223,52,14804,,
6,234,49,16279,,
15,247,48,21711,,
8,207,55,17124,,
5,229,57,15895,,
6,180,44,15960,,
10,189,76,17678,,
12,182,44,18193,,
2,230,56,14643,,
8,185,74,16840,,
2,209,64,14707,,
4,222,33,14467,,
7,226,47,17633,,
3,200,44,14837,,
4,235,57,15826,,
8,269,56,18357,,
7,241,51,16460,,
7,176,40,16054,,
3,202,36,13899,,
3,231,63,15911,,
2,231,52,15215,,
9,236,46,18036,,
6,212,36,16304,,
2,226,80,15267,,
4,252,50,16055,,
8,204,60,17404,,
1,179,56,13741,,
5,223,68,16402,,
2,225,56,14933,,
3,192,47,14665,,
14,180,62,19372,,
6,235,48,16310,,
6,154,49,14643,,
3,251,75,16426,,
6,229,47,16331,,
6,222,44,15895,,
10,216,47,18176,,
7,243,56,17566,,
2,203,47,13832,,
8,238,60,17751,,
3,239,59,15382,,
9,226,44,17326,,
8,192,48,16756,,
4,223,67,16289,,
7,197,48,16581,,
7,204,57,16555,,
3,250,48,15700,,
2,213,24,13494,,
3,183,36,13876,,
7,193,51,16668,,
5,206,45,16009,,
4,250,52,16321,,
9,179,40,16755,,
7,189,62,16407,,
5,203,44,15061,,
6,215,48,16552,,
8,238,36,16538,,
5,233,44,15958,,
7,221,48,16851,,
6,201,63,16753,,
2,222,45,14607,,
5,245,64,17160,,
7,187,52,16360,,
5,192,56,15288,,
11,221,51,18415,,
3,231,51,15190,,
7,244,57,17188,,
10,170,54,16900,,
8,190,40,16208,,
3,223,56,15477,,
4,219,52,15574,,
4,215,51,15377,,
1,189,41,13649,,
11,209,47,19239,,
15,216,40,20186,,
9,240,43,19034,,
13,239,48,20183,,
3,234,50,15877,,
9,219,33,16823,,
5,230,57,16525,,
2,246,66,15103,,
1,228,61,14899,,
7,211,59,16602,,
4,191,40,14504,,
10,195,42,17332,,
7,226,47,16749,,
6,204,59,16423,,
4,240,54,15135,,
7,225,47,16704,,
10,212,42,17835,,
6,221,39,15342,,
6,206,44,16022,,
6,181,44,15678,,
7,197,44,16513,,
7,228,24,16095,,
5,216,48,15892,,
7,218,49,16806,,
8,195,68,16847,,
5,247,62,16373,,
1,189,48,13299,,
9,222,57,18249,,
6,213,60,16641,,
5,210,64,16359,,
7,234,43,16956,,
7,224,36,16992,,
5,216,44,16154,,
13,207,60,19755,,
4,261,49,16181,,
4,203,50,15263,,
10,257,56,18889,,
8,246,64,19630,,
4,219,69,16172,,
7,226,56,17345,,
10,197,48,17688,,
1,225,51,14859,,
9,224,52,18144,,
5,222,40,16400,,
2,214,64,14779,,
5,226,62,16128,,
18,235,57,21416,,
2,217,60,14592,,
8,215,36,17483,,
4,234,52,16205,,
8,224,52,18363,,
9,237,51,18401,,
6,222,44,16391,,
7,215,51,16409,,
8,218,54,16739,,
4,212,52,15986,,
3,186,58,14267,,
2,226,55,14692,,
6,245,56,17045,,
1,202,53,13633,,
11,213,44,18592,,
4,170,56,15154,,
4,229,56,16045,,
8,195,56,17137,,
4,200,52,14559,,
2,237,50,14758,,
9,239,51,18508,,
3,192,46,15978,,
8,232,44,17759,,
8,237,48,18590,,
9,172,52,16749,,
7,207,47,17314,,
11,211,44,18983,,
6,199,48,16325,,
3,205,44,14478,,
2,201,59,14099,,
4,218,58,16234,,
7,205,72,17892,,
7,230,43,16304,,
8,201,51,16688,,
11,201,51,18894,,
5,200,36,15761,,
4,207,52,15028,,
9,232,46,17239,,
1,234,49,14181,,
5,190,65,15557,,
6,218,42,16067,,
6,216,45,16386,,
9,210,56,17997,,
5,199,36,15961,,
0,207,47,13395,,
5,249,51,17048,,
8,194,59,16924,,
2,242,44,14902,,
3,184,64,14341,,
10,229,44,17984,,
5,202,35,15893,,
5,208,54,16138,,
6,224,49,16260,,
6,202,48,15931,,
8,187,32,16693,,
9,247,44,18200,,
5,237,38,15771,,
6,197,44,16682,,
15,191,35,19074,,
10,226,64,19052,,
5,174,46,15220,,
11,214,53,18604,,
4,223,44,15131,,
1,157,48,12789,,
9,227,56,17586,,
8,214,42,16072,,
8,228,48,17473,,
5,230,48,15693,,
4,221,54,16079,,
8,247,40,17109,,
6,170,48,15890,,
7,239,62,17410,,
9,216,53,17491,,
8,221,56,17887,,
7,250,49,17030,,
4,240,56,15762,,
3,231,27,14444,,
13,216,45,20294,,
7,220,40,16592,,
5,211,56,16291,,
2,222,40,14639,,
7,215,52,16447,,
7,201,45,16147,,
3,252,56,15751,,
1,219,51,14742,,
6,192,54,16618,,
9,189,60,17492,,
11,219,56,18208,,
3,230,68,15584,,
8,202,45,17094,,
6,175,48,15307,,
1,191,54,13880,,
4,221,41,16059,,
2,228,65,15471,,
12,199,46,19198,,
8,226,34,16576,,
3,238,52,16076,,
6,223,48,16041,,
4,230,49,15714,,
4,188,44,14608,,
3,218,48,15001,,
5,182,40,14459,,
3,205,54,14783,,
3,234,53,15211,,
6,181,40,15589,,
4,222,63,16223,,
7,217,55,16375,,
11,225,65,18190,,
8,248,43,19120,,
3,245,52,16532,,
8,225,56,19224,,
1,213,43,13993,,
4,208,59,15235,,
12,158,43,17839,,
6,243,55,16932,,
6,191,44,15990,,
8,190,27,16501,,
4,225,76,16193,,
3,185,50,14696,,
2,221,52,13980,,
4,197,53,15132,,
5,194,44,14927,,
6,213,68,17394,,
3,230,52,14961,,
5,192,55,15256,,
5,213,67,16235,,
6,179,31,15536,,
6,230,63,16805,,
4,240,44,15684,,
10,179,40,17207,,
8,206,51,17106,,
5,254,76,18002,,
5,228,66,16725,,
7,214,48,17045,,
2,173,60,13902,,
13,263,58,21986,,
3,234,47,15673,,
4,192,52,14958,,
10,243,52,18408,,
7,249,63,17247,,
9,200,56,17590,,
9,227,56,17657,,
2,197,57,14094,,
3,184,57,14629,,
1,173,46,12791,,
6,203,68,16879,,
5,218,55,16005,,
12,218,63,18876,,
14,216,57,20319,,
12,213,56,19975,,
2,187,48,13761,,
7,238,44,16940,,
3,225,38,14585,,
7,217,50,16806,,
5,224,43,15371,,
12,190,42,18086,,
4,189,52,14246,,
4,236,45,15220,,
5,245,62,16448,,
8,184,64,16947,,
2,229,55,14516,,
4,190,56,14933,,
9,220,36,17795,,
5,219,51,16137,,
6,194,47,15390,,
3,171,59,13998,,
6,203,51,16203,,
2,240,59,15081,,
4,230,60,16161,,
4,208,60,15664,,
9,187,61,16896,,
17,251,72,22296,,
5,185,44,15285,,
3,220,49,14584,,
3,205,59,15206,,
1,198,55,13745,,
4,261,41,16210,,
6,233,60,16498,,
5,235,40,15778,,
3,182,53,14347,,
7,214,55,16663,,
4,236,72,16580,,
6,200,56,16036,,
2,192,37,13298,,
9,199,43,16959,,
11,218,39,18173,,
5,236,59,16122,,
5,216,66,16582,,
5,206,31,15126,,
11,218,45,17666,,
6,191,52,16172,,
7,182,38,15609,,
5,216,59,15897,,
8,261,42,18810,,
3,245,53,15759,,
5,215,39,15411,,
8,174,44,16526,,
11,225,45,17781,,
13,213,43,20028,,
10,248,69,18725,,
3,216,60,15365,,
5,198,46,15727,,
3,236,48,15541,,
2,221,51,14183,,
8,216,60,17135,,
5,250,51,16637,,
4,234,48,15536,,
5,203,39,15755,,
5,201,53,15795,,
2,170,56,13590,,
4,225,63,16260,,
6,209,44,15859,,
11,207,51,18137,,
8,210,53,17451,,
5,224,36,15679,,
9,212,51,18502,,
4,218,48,15120,,
5,163,50,15539,,
3,148,62,13879,,
6,195,41,15640,,
9,246,48,18738,,
8,270,36,18509,,
3,226,55,15441,,
5,201,44,15887,,
7,218,48,16242,,
4,210,56,15714,,
3,250,48,15087,,
7,196,43,16680,,
8,194,48,17639,,
9,204,40,18000,,
2,192,40,13443,,
10,230,49,18121,,
3,200,47,14765,,
8,226,54,17474,,
12,218,60,20176,,
9,237,59,19574,,
5,222,51,15866,,
12,237,56,19313,,
2,241,56,15125,,
6,220,44,16485,,
2,233,54,14815,,
4,227,46,15176,,
1,207,60,13589,,
7,226,35,17012,,
5,248,53,17126,,
4,214,56,15102,,
8,214,54,17338,,
5,246,60,17402,,
2,211,63,14514,,
9,256,56,18442,,
1,262,52,15231,,
6,245,72,17328,,
10,194,52,17767,,
3,231,60,15389,,
3,223,42,15298,,
5,225,44,17659,,
6,239,57,17201,,
2,240,51,15656,,
6,240,28,16889,,
11,204,48,18520,,
3,209,51,14564,,
5,217,51,16635,,
4,192,68,15230,,
2,229,55,14906,,
8,221,52,17706,,
4,234,64,16238,,
5,241,49,16221,,
6,222,48,16564,,
2,202,52,14712,,
7,189,62,17042,,
10,201,60,18104,,
3,215,54,15128,,
7,262,48,17773,,
7,237,66,17263,,
8,246,55,17325,,
13,205,44,19195,,
3,253,60,16246,,
7,206,56,16570,,
5,216,56,15790,,
6,196,64,16598,,
12,226,44,20018,,
9,220,48,17797,,
7,206,60,16160,,
1,164,55,12926,,
2,227,65,14922,,
11,234,53,18702,,
7,231,48,17111,,
11,202,40,18762,,
6,207,62,16386,,
7,171,57,15887,,
5,225,63,16363,,
8,206,64,17356,,
10,184,67,17677,,
5,230,68,16101,,
8,209,49,18257,,
8,198,54,16801,,
9,220,45,17352,,
7,210,40,16594,,
6,195,59,15796,,
5,234,44,16372,,
7,220,55,17088,,
6,199,48,16086,,
7,240,49,17323,,
4,234,44,15205,,
4,214,47,16009,,
5,241,46,17531,,
3,228,52,15310,,
4,192,36,14882,,
4,233,42,15628,,
3,212,36,14208,,
9,232,59,19629,,
7,225,72,17782,,
2,240,58,14790,,
8,218,60,17381,,
6,212,61,16450,,
5,213,51,16456,,
4,174,64,15201,,
8,240,51,17523,,
7,228,52,17072,,
11,222,48,18878,,
4,211,47,14782,,
3,182,56,14017,,
7,220,42,16670,,
5,174,44,14681,,
3,202,60,15268,,
5,203,52,15748,,
9,238,44,17284,,
6,205,56,16806,,
5,193,45,15334,,
3,220,60,15333,,
7,251,60,17491,,
4,214,64,15698,,
7,230,52,18223,,
10,222,44,18360,,
4,223,80,16178,,
3,223,52,15048,,
7,211,59,16865,,
7,221,40,18072,,
11,193,54,17500,,
6,213,44,16688,,
9,227,48,17384,,
3,214,72,15126,,
7,241,64,17214,,
9,226,36,17389,,
3,214,43,14564,,
5,253,56,17670,,
6,216,52,16296,,
5,191,56,15738,,
1,215,64,14118,,
8,179,28,16343,,
2,196,52,14579,,
9,232,48,18485,,
12,234,48,18982,,
6,223,44,16688,,
1,261,60,14836,,
2,212,58,14573,,
4,206,46,15704,,
7,206,56,16578,,
5,208,55,16045,,
3,184,44,14076,,
7,208,48,16518,,
4,227,38,15373,,
4,255,48,15519,,
9,203,41,16795,,
8,162,51,15941,,
7,233,57,17676,,
3,225,51,15056,,
2,243,52,15282,,
3,217,67,15189,,
6,230,44,16285,,
8,224,68,18382,,
4,195,62,15746,,
5,215,52,16141,,
5,221,47,15558,,
2,251,68,15486,,
9,193,50,17335,,
1,204,20,12598,,
9,216,60,17385,,
6,208,60,16452,,
8,185,36,15996,,
6,231,48,16370,,
1,220,63,14264,,
5,249,76,17061,,
9,198,44,16738,,
9,227,43,17999,,
11,213,50,18496,,
7,205,48,16414,,
5,226,53,16563,,
1,244,49,14314,,
6,231,56,16556,,
4,190,50,14604,,
4,241,64,16195,,
6,198,40,14668,,
6,232,55,16557,,
7,216,48,16863,,
13,215,64,19694,,
10,229,42,18523,,
10,212,48,17618,,
9,249,58,18751,,
2,193,56,13932,,
5,238,41,16394,,
11,202,51,18276,,
9,215,44,17722,,
5,246,56,16517,,
5,198,39,15337,,
7,239,42,17569,,
9,240,40,17585,,
5,231,46,15950,,
7,218,40,16531,,
8,189,39,16599,,
5,222,68,16086,,
1,252,68,15065,,
2,227,22,13946,,
7,217,56,16526,,
7,211,48,16495,,
3,238,78,17009,,
4,191,43,15419,,
7,220,48,16460,,
7,223,29,16364,,
6,216,77,16434,,
9,224,36,17685,,
6,216,45,16506,,
9,212,32,17174,,
3,227,44,14771,,
6,182,49,16359,,
5,219,43,15871,,
6,256,52,18215,,
5,214,52,15747,,
7,209,36,16464,,
8,196,48,16424,,
9,201,44,17494,,
8,228,76,18691,,
7,218,50,16446,,
7,184,46,16259,,
4,211,56,16231,,
7,196,43,16146,,
9,191,48,17344,,
8,203,65,17327,,
6,215,60,16568,,
3,241,50,15732,,
7,228,56,16812,,
4,273,60,16452,,
6,249,63,17427,,
7,207,64,16892,,
5,252,59,17003,,
7,205,48,16836,,
3,181,60,14434,,
7,202,52,16696,,
8,182,56,16974,,
2,178,55,13653,,
1,222,55,13934,,
0,214,42,13405,,
10,225,53,18747,,
3,217,51,15156,,
11,198,50,19241,,
7,176,59,15866,,
3,226,41,14247,,
3,167,36,13493,,
4,238,56,15855,,
1,231,60,15186,,
10,188,57,17176,,
5,226,68,16947,,
11,234,40,19528,,
1,206,52,13775,,
10,247,51,18418,,
3,189,56,14815,,
13,242,62,21728,,
5,243,47,16348,,
6,231,46,16302,,
3,216,65,15410,,
4,216,35,15119,,
7,201,60,16561,,
1,180,68,13736,,
4,222,40,15481,,
4,227,56,15967,,
5,223,59,16627,,
9,190,33,17087,,
6,246,68,17612,,
8,205,56,16731,,
12,202,39,18360,,
8,237,49,18075,,
10,247,55,19636,,
6,234,56,16897,,
4,211,32,14538,,
2,224,53,14868,,
14,250,68,20979,,
4,249,43,16513,,
4,210,68,16180,,
6,195,44,16050,,
2,210,67,14428,,
6,194,41,16150,,
7,227,44,17576,,
4,187,50,14990,,
8,220,60,17664,,
4,235,39,16114,,
3,230,52,15299,,
10,257,44,18912,,
7,246,53,19915,,
7,207,48,18273,,
4,219,52,15158,,
4,222,56,16086,,
9,226,54,18626,,
8,193,52,17048,,
2,223,63,14819,,
5,199,40,15082,,
1,244,48,14605,,
9,200,44,17063,,
1,225,56,13881,,
6,258,64,17180,,
6,229,60,16978,,
12,208,35,17827,,
6,176,60,16168,,
3,238,48,15544,,
10,183,48,17566,,
5,202,50,15293,,
9,219,49,17303,,
4,234,56,17201,,
6,252,68,18742,,
5,210,76,16519,,
1,207,62,13727,,
8,217,50,17617,,
11,228,43,19432,,
4,202,47,15280,,
3,214,52,15496,,
4,176,47,15263,,
6,225,52,17012,,
1,217,56,14168,,
9,207,64,17060,,
7,219,50,17053,,
7,200,32,17185,,
3,248,48,16690,,
10,229,45,18246,,
7,219,44,16310,,
5,232,68,16766,,
12,223,43,19460,,
5,205,47,15307,,
4,218,68,15908,,
6,231,58,16966,,
6,241,64,16995,,
12,216,48,18292,,
6,229,47,16481,,
3,226,32,14907,,
6,191,36,15108,,
6,137,44,14779,,
6,193,54,15739,,
6,210,56,16660,,
0,222,56,13561,,
8,247,48,17761,,
1,245,56,14910,,
9,190,60,17410,,
4,241,44,15518,,
8,248,65,18261,,
4,236,47,15574,,
5,220,48,16565,,
5,242,41,16163,,
3,218,42,14724,,
10,213,35,17953,,
